cantonShort;postalCode;city;streetName;streetNumber
ZH;8954;Geroldswil;Welbrigring;38
ZH;8954;Geroldswil;Welbrigring;4
ZH;8954;Geroldswil;Welbrigring;40
ZH;8954;Geroldswil;Welbrigring;42
ZH;8954;Geroldswil;Welbrigring;44
ZH;8954;Geroldswil;Welbrigring;46
ZH;8954;Geroldswil;Welbrigring;48
ZH;8954;Geroldswil;Welbrigring;5
ZH;8954;Geroldswil;Welbrigring;50
ZH;8954;Geroldswil;Welbrigring;6
ZH;8954;Geroldswil;Welbrigring;7
ZH;8954;Geroldswil;Welbrigring;8
ZH;8954;Geroldswil;Welbrigring;9
ZH;8954;Geroldswil;Welbrigstrasse;1
ZH;8954;Geroldswil;Welbrigstrasse;10A
ZH;8954;Geroldswil;Welbrigstrasse;10B
ZH;8954;Geroldswil;Welbrigstrasse;11
ZH;8954;Geroldswil;Welbrigstrasse;12A
ZH;8954;Geroldswil;Welbrigstrasse;12B
ZH;8954;Geroldswil;Welbrigstrasse;13
ZH;8954;Geroldswil;Welbrigstrasse;14A
ZH;8954;Geroldswil;Welbrigstrasse;14B
ZH;8954;Geroldswil;Welbrigstrasse;15
ZH;8954;Geroldswil;Welbrigstrasse;16A
ZH;8954;Geroldswil;Welbrigstrasse;16B
ZH;8954;Geroldswil;Welbrigstrasse;17
ZH;8954;Geroldswil;Welbrigstrasse;18
ZH;8954;Geroldswil;Welbrigstrasse;20A
ZH;8954;Geroldswil;Welbrigstrasse;20B
ZH;8954;Geroldswil;Welbrigstrasse;21
ZH;8954;Geroldswil;Welbrigstrasse;22A
ZH;8954;Geroldswil;Welbrigstrasse;22B
ZH;8954;Geroldswil;Welbrigstrasse;23
ZH;8954;Geroldswil;Welbrigstrasse;24A
ZH;8954;Geroldswil;Welbrigstrasse;24B
ZH;8954;Geroldswil;Welbrigstrasse;24C
ZH;8954;Geroldswil;Welbrigstrasse;24D
ZH;8954;Geroldswil;Welbrigstrasse;25
ZH;8954;Geroldswil;Welbrigstrasse;26A
ZH;8954;Geroldswil;Welbrigstrasse;26B
ZH;8954;Geroldswil;Welbrigstrasse;26C
ZH;8954;Geroldswil;Welbrigstrasse;26D
ZH;8954;Geroldswil;Welbrigstrasse;27
ZH;8954;Geroldswil;Welbrigstrasse;28A
ZH;8954;Geroldswil;Welbrigstrasse;29
ZH;8954;Geroldswil;Welbrigstrasse;2A
ZH;8954;Geroldswil;Welbrigstrasse;2B
ZH;8954;Geroldswil;Welbrigstrasse;3
ZH;8954;Geroldswil;Welbrigstrasse;30
ZH;8954;Geroldswil;Welbrigstrasse;31
ZH;8954;Geroldswil;Welbrigstrasse;32
ZH;8954;Geroldswil;Welbrigstrasse;33
ZH;8954;Geroldswil;Welbrigstrasse;34
ZH;8954;Geroldswil;Welbrigstrasse;35
ZH;8954;Geroldswil;Welbrigstrasse;36
ZH;8954;Geroldswil;Welbrigstrasse;37
ZH;8954;Geroldswil;Welbrigstrasse;38
ZH;8954;Geroldswil;Welbrigstrasse;39
ZH;8954;Geroldswil;Welbrigstrasse;41
ZH;8954;Geroldswil;Welbrigstrasse;43A
ZH;8954;Geroldswil;Welbrigstrasse;43B
ZH;8954;Geroldswil;Welbrigstrasse;43C
ZH;8954;Geroldswil;Welbrigstrasse;43D
ZH;8954;Geroldswil;Welbrigstrasse;43E
ZH;8954;Geroldswil;Welbrigstrasse;43F
ZH;8954;Geroldswil;Welbrigstrasse;45
ZH;8954;Geroldswil;Welbrigstrasse;47A
ZH;8954;Geroldswil;Welbrigstrasse;47B
ZH;8954;Geroldswil;Welbrigstrasse;49
ZH;8954;Geroldswil;Welbrigstrasse;4A
ZH;8954;Geroldswil;Welbrigstrasse;4B
ZH;8954;Geroldswil;Welbrigstrasse;5
ZH;8954;Geroldswil;Welbrigstrasse;51
ZH;8954;Geroldswil;Welbrigstrasse;53
ZH;8954;Geroldswil;Welbrigstrasse;55
ZH;8954;Geroldswil;Welbrigstrasse;57A
